city,cityID,TGNID,latitude,longitude,birth,death,bir_sour
North Africa ,1000390000,7016886,20.526755,10.865315,1.0,0.0,1.0
Annaba ,1001000034,7001313,36.9167,7.7833,0.0,1.0,0.0
Souq Ahras ,1001540022,1087562,36.2333,8,1.0,0.0,1.0
Arquip¨¦lago de Cabo Verde ,1060000000,7001632,16,-24,1.0,0.0,1.0
Gonder ,1122180020,1089826,12.65,37.4833,0.0,1.0,0.0
Labdah ,1332330000,7000642,32.9833,14.25,1.0,0.0,1.0
Aberdeen ,1547000003,1092799,-32.4833,24.0667,1.0,0.0,1.0
Amsterdam ,1547000027,1092823,-26.6333,30.6667,1.0,1.0,0.0
Berlin ,1547030031,1092869,-32.8833,27.5833,0.0,1.0,0.0
Cape Town ,1547060008,7000811,-33.9333,18.4667,0.0,1.0,0.0
French Southern and Antarctic Territories ,2150000000,1000163,-49.5,69.5,1.0,0.0,1.0
Her¨¡t province ,3001210001,1001293,34.5,62,3.0,2.0,1.0
Chittagong ,3031060022,7002575,22.3333,91.8333,0.0,1.0,0.0
Nicosia ,3061390001,7002345,35.1667,33.3667,1.0,0.0,1.0
Beijing ,3062030302,7001758,39.9167,116.4333,0.0,3.0,0.0
Changzhou ,3062060190,7001471,31.7833,119.95,0.0,1.0,0.0
Chengdu ,3062060234,7001761,30.666,104.066,0.0,1.0,0.0
Dongping ,3062090594,1138922,35.9667,116.3333,1.0,0.0,1.0
Guilin ,3062180346,7001799,25.35,110.1833,1.0,0.0,1.0
Henan ,3062210003,7016672,34,114,1.0,0.0,1.0
Hubei ,3062210005,7002078,31,112,0.0,1.0,0.0
Haiyang ,3062210049,1068554,36.75,121.25,1.0,0.0,1.0
Hangzhou ,3062210092,7001806,30.3,120.1167,1.0,2.0,0.0
Kunshan ,3062300106,1069581,31.35,120.95,1.0,0.0,1.0
Lanxi ,3062330073,1069668,29.2,119.45,1.0,0.0,1.0
Lin'an ,3062330261,1069840,30.2667,119.7167,0.0,1.0,0.0
Meishan ,3062360181,1070405,30.0333,103.8167,1.0,0.0,1.0
Nanjing ,3062390068,7001892,32.05,118.7833,0.0,1.0,0.0
Shanghang ,3062540233,1071450,25.05,116.4167,1.0,0.0,1.0
Suzhou ,3062540950,7018059,31.35,120.6667,1.0,2.0,0.0
Xiangcheng ,3062690061,1139797,31.4833,120.7167,1.0,1.0,0.0
Xiaogan ,3062690127,1072825,30.9167,113.9,1.0,0.0,1.0
Yangzhou ,3062720139,7001999,32.3667,119.3667,0.0,2.0,0.0
Zhejiang ,3062750000,7002076,29,120,1.0,0.0,1.0
Babylonia ,3240030008,7013255,33.240526,43.68985,0.0,1.0,0.0
_gra ,3241000028,7001493,27.183,78.016,0.0,1.0,0.0
Calcutta ,3241060002,7030776,22.5,88.3333,0.0,1.0,0.0
Goa ,3241180082,7018161,15.5167,73.9333,0.0,1.0,0.0
Murshidabad ,3241360257,1076286,24.1833,88.3167,0.0,1.0,0.0
Th¨¡na ,3241570071,1077154,19.2,72.9667,0.0,1.0,0.0
Indonesia ,3242000000,1000116,-5,120,0.0,1.0,0.0
_r¨¡n ,3243000000,7000231,32,53,1.0,0.0,1.0
E_fah¨¡n province ,3243120001,1001228,32.8333,51.8333,0.0,1.0,0.0
E_fah¨¡n ,3243120005,7017459,32.6833,51.6833,0.0,1.0,0.0
Kashan ,3243300018,1079129,33.9833,51.5833,1.0,0.0,1.0
M¨¡zandar¨¡n ,3243360001,1001403,36.5,53.5,0.0,1.0,0.0
Mashhad ,3243360016,7002247,36.2667,59.5667,2.0,1.0,1.0
Qazv¨©n ,3243480009,1079247,36.2667,50,0.0,1.0,0.0
Sh¨©r¨¡z ,3243540044,7002148,29.6333,52.5667,1.0,1.0,0.0
